"filename", "language", "Python", "HTML", "JavaScript", "PostCSS", "XML", "Markdown", "pip requirements", "comment", "blank", "total"
"d:\repo\Phoenix11\README.md", "Markdown", 0, 0, 0, 0, 0, 6, 0, 0, 7, 13
"d:\repo\Phoenix11\accounting\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\repo\Phoenix11\accounting\admin.py", "Python", 23, 0, 0, 0, 0, 0, 0, 1, 2, 26
"d:\repo\Phoenix11\accounting\apis.py", "Python", 658, 0, 0, 0, 0, 0, 0, 6, 75, 739
"d:\repo\Phoenix11\accounting\apps.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 3, 8
"d:\repo\Phoenix11\accounting\constants.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"d:\repo\Phoenix11\accounting\defaults.py", "Python", 254, 0, 0, 0, 0, 0, 0, 32, 61, 347
"d:\repo\Phoenix11\accounting\enums.py", "Python", 66, 0, 0, 0, 0, 0, 0, 1, 20, 87
"d:\repo\Phoenix11\accounting\forms.py", "Python", 198, 0, 0, 0, 0, 0, 0, 0, 85, 283
"d:\repo\Phoenix11\accounting\migrations\0001_initial.py", "Python", 303, 0, 0, 0, 0, 0, 0, 1, 7, 311
"d:\repo\Phoenix11\accounting\migrations\0002_asset_owner.py", "Python", 15, 0, 0, 0, 0, 0, 0, 1, 6, 22
"d:\repo\Phoenix11\accounting\migrations\0003_alter_invoiceline_unit_name_and_more.py", "Python", 17, 0, 0, 0, 0, 0, 0, 1, 6, 24
"d:\repo\Phoenix11\accounting\migrations\0004_alter_asset_options_alter_bank_options_and_more.py", "Python", 68, 0, 0, 0, 0, 0, 0, 1, 6, 75
"d:\repo\Phoenix11\accounting\migrations\0005_remove_invoice_shipping_fee_and_more.py", "Python", 21, 0, 0, 0, 0, 0, 0, 1, 6, 28
"d:\repo\Phoenix11\accounting\migrations\0006_alter_invoiceline_unit_name_and_more.py", "Python", 17, 0, 0, 0, 0, 0, 0, 1, 6, 24
"d:\repo\Phoenix11\accounting\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\repo\Phoenix11\accounting\models.py", "Python", 441, 0, 0, 0, 0, 0, 0, 310, 104, 855
"d:\repo\Phoenix11\accounting\repo.py", "Python", 2506, 0, 0, 0, 0, 0, 0, 20, 39, 2565
"d:\repo\Phoenix11\accounting\serializers.py", "Python", 99, 0, 0, 0, 0, 0, 0, 3, 41, 143
"d:\repo\Phoenix11\accounting\settings_on_local.py", "Python", 28, 0, 0, 0, 0, 0, 0, 1, 6, 35
"d:\repo\Phoenix11\accounting\templates\accounting\account.html", "HTML", 0, 49, 0, 0, 0, 0, 0, 0, 19, 68
"d:\repo\Phoenix11\accounting\templates\accounting\accounts.html", "HTML", 0, 11, 0, 0, 0, 0, 0, 0, 10, 21
"d:\repo\Phoenix11\accounting\templates\accounting\add-finanical-event.html", "HTML", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\repo\Phoenix11\accounting\templates\accounting\asset.html", "HTML", 0, 39, 0, 0, 0, 0, 0, 0, 25, 64
"d:\repo\Phoenix11\accounting\templates\accounting\assets.html", "HTML", 0, 21, 0, 0, 0, 0, 0, 0, 10, 31
"d:\repo\Phoenix11\accounting\templates\accounting\brand.html", "HTML", 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"d:\repo\Phoenix11\accounting\templates\accounting\brands.html", "HTML", 0, 21, 0, 0, 0, 0, 0, 0, 10, 31
"d:\repo\Phoenix11\accounting\templates\accounting\category.html", "HTML", 0, 31, 0, 0, 0, 0, 0, 0, 21, 52
"d:\repo\Phoenix11\accounting\templates\accounting\financial-document-line.html", "HTML", 0, 33, 0, 0, 0, 0, 0, 0, 6, 39
"d:\repo\Phoenix11\accounting\templates\accounting\financial-document.html", "HTML", 0, 44, 0, 0, 0, 0, 0, 0, 8, 52
"d:\repo\Phoenix11\accounting\templates\accounting\financial-documents.html", "HTML", 0, 21, 0, 0, 0, 0, 0, 0, 10, 31
"d:\repo\Phoenix11\accounting\templates\accounting\financial-event.html", "HTML", 0, 47, 0, 0, 0, 0, 0, 0, 3, 50
"d:\repo\Phoenix11\accounting\templates\accounting\financial-events.html", "HTML", 0, 22, 0, 0, 0, 0, 0, 0, 10, 32
"d:\repo\Phoenix11\accounting\templates\accounting\financial-year.html", "HTML", 0, 22, 0, 0, 0, 0, 0, 0, 7, 29
"d:\repo\Phoenix11\accounting\templates\accounting\financial-years.html", "HTML", 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"d:\repo\Phoenix11\accounting\templates\accounting\includes\account-app\card-full.html", "HTML", 0, 79, 0, 0, 0, 0, 0, 0, 6, 85
"d:\repo\Phoenix11\accounting\templates\accounting\includes\account-app\card.html", "HTML", 0, 31, 0, 0, 0, 0, 0, 0, 5, 36
"d:\repo\Phoenix11\accounting\templates\accounting\includes\account-app\media-simple.html", "HTML", 0, 36, 0, 0, 0, 0, 0, 5, 11, 52
"d:\repo\Phoenix11\accounting\templates\accounting\includes\account-app\media.html", "HTML", 0, 32, 0, 0, 0, 0, 0, 0, 9, 41
"d:\repo\Phoenix11\accounting\templates\accounting\includes\account-app\script.html", "HTML", 0, 44, 0, 0, 0, 0, 0, 0, 13, 57
"d:\repo\Phoenix11\accounting\templates\accounting\includes\account-app\select-script.html", "HTML", 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"d:\repo\Phoenix11\accounting\templates\accounting\includes\accounts-app\script.html", "HTML", 0, 17, 0, 0, 0, 0, 0, 0, 1, 18
"d:\repo\Phoenix11\accounting\templates\accounting\includes\accounts-app\template.html", "HTML", 0, 74, 0, 0, 0, 0, 0, 0, 10, 84
"d:\repo\Phoenix11\accounting\templates\accounting\includes\add-account-app\script.html", "HTML", 0, 47, 0, 0, 0, 0, 0, 0, 6, 53
"d:\repo\Phoenix11\accounting\templates\accounting\includes\add-account-app\template.html", "HTML", 0, 95, 0, 0, 0, 0, 0, 0, 22, 117
"d:\repo\Phoenix11\accounting\templates\accounting\includes\add-asset-app\script.html", "HTML", 0, 50, 0, 0, 0, 0, 0, 0, 5, 55
"d:\repo\Phoenix11\accounting\templates\accounting\includes\add-asset-app\template.html", "HTML", 0, 81, 0, 0, 0, 0, 0, 0, 5, 86
"d:\repo\Phoenix11\accounting\templates\accounting\includes\add-brand-app\script.html", "HTML", 0, 35, 0, 0, 0, 0, 0, 0, 4, 39
"d:\repo\Phoenix11\accounting\templates\accounting\includes\add-brand-app\template.html", "HTML", 0, 40, 0, 0, 0, 0, 0, 0, 8, 48
"d:\repo\Phoenix11\accounting\templates\accounting\includes\add-financial-document-app\script.html", "HTML", 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"d:\repo\Phoenix11\accounting\templates\accounting\includes\add-financial-document-app\template.html", "HTML", 0, 40, 0, 0, 0, 0, 0, 0, 1, 41
"d:\repo\Phoenix11\accounting\templates\accounting\includes\add-financial-document-line-app\script.html", "HTML", 0, 127, 0, 0, 0, 0, 0, 0, 22, 149
"d:\repo\Phoenix11\accounting\templates\accounting\includes\add-financial-document-line-app\template.html", "HTML", 0, 181, 0, 0, 0, 0, 0, 5, 21, 207
"d:\repo\Phoenix11\accounting\templates\accounting\includes\add-financial-event-app\script.html", "HTML", 0, 135, 0, 0, 0, 0, 0, 0, 23, 158
"d:\repo\Phoenix11\accounting\templates\accounting\includes\add-financial-event-app\template.html", "HTML", 0, 176, 0, 0, 0, 0, 0, 0, 50, 226
"d:\repo\Phoenix11\accounting\templates\accounting\includes\add-invoice-app\script.html", "HTML", 0, 93, 0, 0, 0, 0, 0, 0, 13, 106
"d:\repo\Phoenix11\accounting\templates\accounting\includes\add-invoice-app\template.html", "HTML", 0, 119, 0, 0, 0, 0, 0, 0, 23, 142
"d:\repo\Phoenix11\accounting\templates\accounting\includes\add-invoice-line-app\script.html", "HTML", 0, 132, 0, 0, 0, 0, 0, 0, 8, 140
"d:\repo\Phoenix11\accounting\templates\accounting\includes\add-invoice-line-app\template.html", "HTML", 0, 191, 0, 0, 0, 0, 0, 0, 33, 224
"d:\repo\Phoenix11\accounting\templates\accounting\includes\add-person-account-app\script.html", "HTML", 0, 58, 0, 0, 0, 0, 0, 0, 8, 66
"d:\repo\Phoenix11\accounting\templates\accounting\includes\add-person-account-app\template.html", "HTML", 0, 133, 0, 0, 0, 0, 0, 0, 11, 144
"d:\repo\Phoenix11\accounting\templates\accounting\includes\add-person-category-app\script.html", "HTML", 0, 55, 0, 0, 0, 0, 0, 0, 8, 63
"d:\repo\Phoenix11\accounting\templates\accounting\includes\add-person-category-app\template.html", "HTML", 0, 102, 0, 0, 0, 0, 0, 0, 12, 114
"d:\repo\Phoenix11\accounting\templates\accounting\includes\add-product-app\script.html", "HTML", 0, 49, 0, 0, 0, 0, 0, 0, 4, 53
"d:\repo\Phoenix11\accounting\templates\accounting\includes\add-product-app\template.html", "HTML", 0, 101, 0, 0, 0, 0, 0, 0, 13, 114
"d:\repo\Phoenix11\accounting\templates\accounting\includes\add-product-to-category-app\script.html", "HTML", 0, 59, 0, 0, 0, 0, 0, 0, 6, 65
"d:\repo\Phoenix11\accounting\templates\accounting\includes\add-product-to-category-app\template.html", "HTML", 0, 53, 0, 0, 0, 0, 0, 0, 14, 67
