Date : 2025-07-29 02:17:11
Directory : d:\repo\Phoenix11
Total : 852 files,  105764 codes, 6666 comments, 14251 blanks, all 126681 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JavaScript       |         59 |     54,764 |      5,143 |      4,987 |     64,894 |
| HTML             |        472 |     22,386 |        136 |      4,747 |     27,269 |
| Python           |        292 |     16,265 |      1,286 |      3,217 |     20,768 |
| PostCSS          |         18 |      8,528 |         98 |        901 |      9,527 |
| XML              |          5 |      2,977 |          3 |          2 |      2,982 |
| Markdown         |          5 |        834 |          0 |        397 |      1,231 |
| pip requirements |          1 |         10 |          0 |          0 |         10 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                 |        852 |    105,764 |      6,666 |     14,251 |    126,681 |
| . (Files)                                                                                                         |          3 |         31 |          3 |         12 |         46 |
| accounting                                                                                                        |        172 |     14,159 |        481 |      2,623 |     17,263 |
| accounting (Files)                                                                                                |         15 |      5,309 |        401 |        764 |      6,474 |
| accounting\migrations                                                                                             |          7 |        441 |          6 |         38 |        485 |
| accounting\templates                                                                                              |        146 |      8,370 |         72 |      1,813 |     10,255 |
| accounting\templates\accounting                                                                                   |        146 |      8,370 |         72 |      1,813 |     10,255 |
| accounting\templates\accounting (Files)                                                                           |         36 |      1,790 |          0 |        480 |      2,270 |
| accounting\templates\accounting\includes                                                                          |        110 |      6,580 |         72 |      1,333 |      7,985 |
| accounting\templates\accounting\includes (Files)                                                                  |          1 |          0 |          0 |          1 |          1 |
| accounting\templates\accounting\includes\account-app                                                              |          6 |        229 |          5 |         44 |        278 |
| accounting\templates\accounting\includes\accounts-app                                                             |          2 |         91 |          0 |         11 |        102 |
| accounting\templates\accounting\includes\add-account-app                                                          |          2 |        142 |          0 |         28 |        170 |
| accounting\templates\accounting\includes\add-asset-app                                                            |          2 |        131 |          0 |         10 |        141 |
| accounting\templates\accounting\includes\add-brand-app                                                            |          2 |         75 |          0 |         12 |         87 |
| accounting\templates\accounting\includes\add-financial-document-app                                               |          2 |         53 |          0 |          3 |         56 |
| accounting\templates\accounting\includes\add-financial-document-line-app                                          |          2 |        308 |          5 |         43 |        356 |
| accounting\templates\accounting\includes\add-financial-event-app                                                  |          2 |        311 |          0 |         73 |        384 |
| accounting\templates\accounting\includes\add-invoice-app                                                          |          2 |        212 |          0 |         36 |        248 |
| accounting\templates\accounting\includes\add-invoice-line-app                                                     |          2 |        323 |          0 |         41 |        364 |
| accounting\templates\accounting\includes\add-person-account-app                                                   |          2 |        191 |          0 |         19 |        210 |
| accounting\templates\accounting\includes\add-person-category-app                                                  |          2 |        157 |          0 |         20 |        177 |
| accounting\templates\accounting\includes\add-product-app                                                          |          2 |        150 |          0 |         17 |        167 |
| accounting\templates\accounting\includes\add-product-to-category-app                                              |          2 |        112 |          0 |         20 |        132 |
| accounting\templates\accounting\includes\add-service-app                                                          |          2 |        108 |          0 |         13 |        121 |
| accounting\templates\accounting\includes\assets-app                                                               |          2 |        100 |          0 |         43 |        143 |
| accounting\templates\accounting\includes\brand-app                                                                |          2 |          9 |          0 |          3 |         12 |
| accounting\templates\accounting\includes\brands-app                                                               |          2 |        111 |          0 |          7 |        118 |
| accounting\templates\accounting\includes\categories-app                                                           |          4 |        184 |          0 |         47 |        231 |
| accounting\templates\accounting\includes\edit-financial-document-app                                              |          2 |        103 |          0 |         10 |        113 |
| accounting\templates\accounting\includes\edit-financial-event-app                                                 |          2 |        161 |          0 |         15 |        176 |
| accounting\templates\accounting\includes\edit-invoice-app                                                         |          2 |          0 |          0 |          2 |          2 |
| accounting\templates\accounting\includes\financial-document-app                                                   |          3 |         26 |          0 |          6 |         32 |
| accounting\templates\accounting\includes\financial-document-line-app                                              |          1 |          9 |          0 |          0 |          9 |
| accounting\templates\accounting\includes\financial-document-lines-app                                             |          2 |        290 |          0 |         38 |        328 |
| accounting\templates\accounting\includes\financial-documents-app                                                  |          2 |        125 |          6 |         50 |        181 |
| accounting\templates\accounting\includes\financial-event-app                                                      |          4 |         68 |          0 |         17 |         85 |
| accounting\templates\accounting\includes\financial-events-app                                                     |          2 |        161 |          6 |         54 |        221 |
| accounting\templates\accounting\includes\financial-years-app                                                      |          3 |        217 |          6 |         77 |        300 |
| accounting\templates\accounting\includes\import-from-excel                                                        |          2 |        107 |          0 |         29 |        136 |
| accounting\templates\accounting\includes\import-products-from-excel-app                                           |          2 |        117 |          0 |         36 |        153 |
| accounting\templates\accounting\includes\import-services-from-excel-app                                           |          2 |        117 |          0 |         43 |        160 |
| accounting\templates\accounting\includes\invoice-app                                                              |          2 |         27 |          0 |         10 |         37 |
| accounting\templates\accounting\includes\invoice-line-item-app                                                    |          3 |         21 |          0 |          6 |         27 |
| accounting\templates\accounting\includes\invoice-line-item-units-app                                              |          2 |        269 |          6 |         28 |        303 |
| accounting\templates\accounting\includes\invoice-lines-app                                                        |          4 |        583 |         32 |        183 |        798 |
| accounting\templates\accounting\includes\invoices-app                                                             |          2 |        157 |          0 |         49 |        206 |
| accounting\templates\accounting\includes\person-account-app                                                       |          3 |        139 |          0 |         24 |        163 |
| accounting\templates\accounting\includes\person-accounts-app                                                      |          2 |         99 |          0 |         14 |        113 |
| accounting\templates\accounting\includes\person-categories-app                                                    |          2 |        121 |          0 |          6 |        127 |
| accounting\templates\accounting\includes\product-app                                                              |          3 |         41 |          0 |          8 |         49 |
| accounting\templates\accounting\includes\product-specifications-app                                               |          2 |        171 |          6 |         51 |        228 |
